x
CFH
RBM5
SLC7A2
RBM6
HSPB6
PDK4
ACSM3
PKD1
RPS20
CSDE1
NISCH
MRC2
DCN
CD22
CALCOCO1
CLK1
MATR3
VIM
TMSB10
TIMP2
CTNNA1
HSPA5
MAP4
H6PD
SYNE2
EIF4B
RPL18
YBX1
PKM
RHOA
LAPTM4A
NUCKS1
TGFBR3
PABPC1
RPL31
CYBRD1
TFRC
ACADVL
ENO1
SLC25A3
FOSL2
ACTB
FGFR1
FBLN1
TNS1
HSP90AA1
NFE2L1
RPS5
APLP2
COL16A1
CTTN
HUWE1
FTL
MMP2
ADD1
GNAS
RPL6
RPLP0
PEBP1
FUS
GANAB
LTBP4
GLG1
HNRNPC
MYL6
FKBP5
HSP90AB1
ABLIM1
CIRBP
LGALS1
EIF3L
DDX17
TIMP3
SUN2
CYB5R3
RPL3
MYH9
ST13
SRSF5
ACIN1
NFATC4
MYL9
CST3
PRPS2
TIMP1
MAGED2
TSC22D1
CRISPLD2
EIF3E
NDRG1
EEF1D
SNRNP70
OAZ1
TLE5
RPS16
RPS19
NOP53
PPP2R1A
RPL18A
FKBP8
HSPB1
RARRES2
AEBP1
EIF4H
ENG
ZFAND5
ACTA2
RPL28
RPL19
CDK5RAP3
DDX5
LGALS3BP
KAT2A
COL1A1
VAT1
LUC7L3
PRKAR1A
WSB1
RPL34
CPZ
HSPA8
EIF4G2
MDK
CD81
RPS13
ATP5F1B
PTGES3
TNS2
MGP
GAPDH
ATN1
LDHB
COL12A1
SRSF3
RPS12
C7
SPARC
DPYSL3
PDGFRB
RBP1
RPL24
NKTR
SLC4A3
EEF1B2
NCL
RPS15
SPTBN1
EFEMP1
FN1
IGFBP5
SF3B1
FHL2
HDLBP
RPL22
QSOX1
ERRFI1
SFPQ
SRSF11
NID1
ECE1
F3
RPS25
SGK1
CCNI
KLF9
NR4A3
DUSP1
EGR1
CLU
ECHDC2
RPL21
FMOD
RPL5
HNRNPA2B1
CALD1
PFDN5
NR4A1
LRP1
TUBA1B
MORF4L2
NRK
OBSL1
SRSF6
HIF3A
RPS10
AHNAK
RPL23
C3
FOSB
DSTN
CANX
UBR4
HP1BP3
MACF1
ZFP36
ATF4
ISLR
ILF3
PRKCSH
APOE
RPL36
BST2
ACTN4
JUND
COL5A1
TRIM28
ZNF331
UBA1
AKAP12
SYNE1
RBM39
SLC6A6
RPL27
DNAJB1
SERPINF1
PNISR
H3-3B
MATN2
MPRIP
TPT1
TCEAL4
SRRM1
MYH11
SARAF
SLC38A2
RPS15A
PDGFRA
CD63
HNRNPA1
OS9
GLUL
ITM2B
GATA4
RPL35
TLN1
RPS6
NUMA1
FXYD6
THBS1
RPLP1
EMILIN1
RPS24
SLC40A1
HNRNPD
SEC31A
MAPK8IP3
LUM
TMBIM6
MAN2C1
TPM1
MFGE8
CDH11
RPS2
MINK1
IGFBP4
IFITM3
COL6A1
COL6A2
APP
RPS11
RPL13A
RPL11
RPS8
MCL1
POGZ
INTS3
ARF1
EPHX1
RHOB
CALM2
RPS27A
SNRNP200
RPL32
RPS3A
RPL37
BTF3
IGFBP3
NONO
OGT
RBMX
RPL10
STAR
RPL7
EIF3H
GSN
RPL7A
SERPING1
RPS3
TAGLN
FAU
ALDOA
ITGB1
UBC
DST
ATP5F1A
ZFP36L2
IGSF10
SPARCL1
HNRNPDL
HNRNPU
NR4A2
ADAMTS1
RPL30
EEF1A1
EIF4A2
RBPMS
PWWP3B
TSC22D3
CLSTN2
NBL1
ADAMTS4
SON
CSRP1
PTMS
BTG2
C1R
CALM3
LMNA
SQSTM1
RPL8
AP2M1
EIF4A1
RPL26
RPL29
KLHDC8A
CAPN2
PBXIP1
COL6A3
ATP1A1
FSTL1
IGFBP7
STT3B
CCNL1
RPL9
CITED2
RPS14
COL1A2
CTSB
SUN1
YWHAZ
MAMDC2
HNRNPK
DEPP1
NDRG2
HTRA1
RPL27A
MFAP4
HSP90B1
B2M
STAT6
PDIA3
TPM4
RPL13
LENG8
EEF2
ZNF83
SRRM2
FTH1
RPSA
CTNNB1
LTBP3
SF1
DDIT4
SEPTIN2
TNXB
COL3A1
MAT2A
HNRNPH1
SLC25A6
ANTXR1
CNBP
CHD3
HNRNPA3
CRTAP
GABARAP
UBB
FOS
RPS9
JUNB
KRT13
MCC
ECEL1
RPS21
RPS7
LAMB2
BSG
CSDC2
RPL38
AHSA2P
NUDT4
WFIKKN2
EIF1
PRPF8
PODN
RPL4
RPL15
SNHG29
MARCKSL1
CTDSP2
GOLGA8A
EIF3F
MLXIP
A2M
CAVIN1
RPLP2
JUN
RPS27
IMPDH2
PLEC
WDR6
MRFAP1
PER1
CALR
NPM1
C1S
RPS17
COL18A1
RPL35A
EWSR1
GAS6
NPIPA1
NPIPA6
ACTG1
EIF3C
TSPYL2
NR2F2
DLK1
P4HB
ZFP36L1
MORF4L1
IFITM1
RPS23
NAP1L1
C11orf96
PTMA
PLA2G2A
PRELP
RPL14
HMGB1
GREB1
TUBB
PPIA
NCOR2
NACA
CACNA1H
SULF2
LAMA2
PLXNB2
FLNA
ANXA6
DYNC1H1
PCBP2
KANK2
SVIL
SPTAN1
RPS26
PSAP
RPL37A
RPL12
RPS4X
RPL23A
PEG3
OGA
TPM2
DDX39B
MT-ND6
MT-CO2
MT-CYB
RPL10A
MT-ND2
MT-ND5
MT-CO1
HMGN2
MT-ND3
MT-ND4
MT-ND1
MT-ATP6
RPL39
MT-CO3
GDI1
BRD2
SNHG32
HSPA1B
HSPA1A
PRRC2A
HLA-C
HLA-E
RACK1
TMSB4X
HLA-A
MT-RNR2
GPX3
MT-RNR1
MT-ND4L
GSTM2
PPP1CB
RPS29
TTLL3
MEG3
GOLGA8B
DDX3X
RPL21P16
CEBPD
CCNL2
UBA52
C4B
