gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Type
ENSG00000066279	992.643944211048	5.0395449057673	0.131562249769773	38.3054023064082	0	0	Upregulated
ENSG00000068489	740.122182984599	4.36622010467099	0.103958048203315	41.999827624041	0	0	Upregulated
ENSG00000070808	1626.50514198884	-9.99335758828322	0.241103878057156	-41.4483486072928	0	0	Downregulated
ENSG00000073111	4966.91029103913	3.34346065482765	0.0836366131584151	39.9760407382212	0	0	Upregulated
ENSG00000088325	5070.03135641699	5.25134680705268	0.126621773965142	41.4726996993293	0	0	Upregulated
ENSG00000091428	1188.94929830162	-5.3986830389002	0.137881181146267	-39.1546039424567	0	0	Downregulated
ENSG00000099622	9263.76631153819	-2.73894747409355	0.0725709083874536	-37.741672730213	0	0	Downregulated
ENSG00000102924	1169.66165918105	-8.40709494965551	0.223196485816838	-37.6667890575779	0	0	Downregulated
ENSG00000104826	2208.76102766355	-11.2562907219825	0.282648890754489	-39.8242876238979	0	0	Downregulated
ENSG00000105011	2447.31263613482	5.13235487848724	0.134323124298921	38.2090195212088	0	0	Upregulated
ENSG00000108387	2428.24433503045	-5.71985600484749	0.130469799828149	-43.8404597261705	0	0	Downregulated
ENSG00000111206	4348.99742403938	4.68193979742805	0.11687079661647	40.0608187243952	0	0	Upregulated
ENSG00000112742	1062.5033103398	5.18360568090013	0.129768784816751	39.9449350490565	0	0	Upregulated
ENSG00000114346	3264.47234363916	3.53786405635546	0.09242489008769	38.278260899189	0	0	Upregulated
ENSG00000114686	8639.01633236949	2.20304478785073	0.0578597743854704	38.0755855211898	0	0	Upregulated
ENSG00000115163	641.765355050582	6.00019031439038	0.140577062221435	42.6825701118933	0	0	Upregulated
ENSG00000115266	1113.38811818768	-7.23321905037652	0.186042983895181	-38.8792896078888	0	0	Downregulated
ENSG00000116254	1210.42339601138	-8.64673030018541	0.220303077243317	-39.24924884565	0	0	Downregulated
ENSG00000121152	823.977153981318	4.54916280913818	0.117596125031264	38.6846318952154	0	0	Upregulated
ENSG00000128482	601.755360124587	-7.23600502910971	0.170046242246949	-42.5531604432707	0	0	Downregulated
ENSG00000129195	562.998742999566	4.94415565799815	0.129330351977217	38.2288889066745	0	0	Upregulated
ENSG00000129810	455.463466537659	5.03795576254637	0.125825942787325	40.0390861450701	0	0	Upregulated
ENSG00000131018	4355.60938878091	-4.77521600890822	0.113817852660658	-41.9548945730444	0	0	Downregulated
ENSG00000135439	2185.6686410679	-6.49207185426136	0.164466366445149	-39.4735531317677	0	0	Downregulated
ENSG00000135709	1999.20172923253	-5.37824775919656	0.139322683116444	-38.6028149824066	0	0	Downregulated
ENSG00000136872	668.483503731758	-9.60168016248172	0.246463815393491	-38.9577680892109	0	0	Downregulated
ENSG00000137309	26283.4317368854	3.68476263251473	0.0958236617643662	38.4535777976811	0	0	Upregulated
ENSG00000137804	2356.19342828084	4.41496199660671	0.111450564287577	39.6136352007579	0	0	Upregulated
ENSG00000138160	1750.97125516796	4.22437038759936	0.10152520614378	41.6090796369997	0	0	Upregulated
ENSG00000142945	1599.40682153853	4.39332667882478	0.112569930985758	39.0275328442779	0	0	Upregulated
ENSG00000143228	733.796118590921	4.60357161150947	0.120264631142632	38.278682333875	0	0	Upregulated
ENSG00000146670	1494.82483839017	4.05493526753675	0.102210186163268	39.6725162114419	0	0	Upregulated
ENSG00000147488	370.251092427723	-8.08260818917197	0.200900236154691	-40.2319496675377	0	0	Downregulated
ENSG00000148773	4961.92809409941	5.5174740964385	0.146738862759579	37.6006328022216	0	0	Upregulated
ENSG00000150672	612.448683512066	-5.89546332588924	0.154322172461629	-38.2023090515725	0	0	Downregulated
ENSG00000156970	1002.58849337425	4.21918545166048	0.111164640217659	37.9543840865168	0	0	Upregulated
ENSG00000157456	1853.89646352751	5.08921098919777	0.122503631828846	41.543347843826	0	0	Upregulated
ENSG00000157782	316.722095405375	-6.01236528560883	0.15684190317433	-38.3339220190797	0	0	Downregulated
ENSG00000158402	389.805280755419	4.84748212471141	0.125539356400197	38.6132465842703	0	0	Upregulated
ENSG00000163902	22339.6710636238	2.18032164980321	0.0580589314574683	37.5535958907619	0	0	Upregulated
ENSG00000165995	279.683752278354	-4.77441908384647	0.12047014474578	-39.63155430685	0	0	Downregulated
ENSG00000167377	518.995239055085	-2.43141425458073	0.0642897760922857	-37.8196099344089	0	0	Downregulated
ENSG00000167549	757.940754838828	-6.10254031239296	0.147744248422518	-41.304757224396	0	0	Downregulated
ENSG00000167553	20713.2541912004	3.7843506770736	0.100093763432032	37.8080566392463	0	0	Upregulated
ENSG00000168314	1235.99201647537	-9.16785766183046	0.232259008975297	-39.4725599763734	0	0	Downregulated
ENSG00000168490	2273.25822150452	-8.28408329371626	0.176426794965294	-46.9547910528322	0	0	Downregulated
ENSG00000169679	1597.14885326495	5.17127109634785	0.13148348368426	39.3301953328674	0	0	Upregulated
ENSG00000171817	288.147010945934	-5.17639433139022	0.125147451476707	-41.3623631189459	0	0	Downregulated
ENSG00000171848	2124.15170144167	5.49505652714785	0.142583270784997	38.5392795164161	0	0	Upregulated
ENSG00000172179	81679.2595199271	-16.6754303098749	0.436628136425181	-38.1913782432853	0	0	Downregulated
ENSG00000175063	4112.8316719241	6.10545539054864	0.159941298122069	38.1731013955439	0	0	Upregulated
ENSG00000184205	4079.31955348656	-4.129910457307	0.0896930674215639	-46.0449238277928	0	0	Downregulated
ENSG00000185386	544.825923627936	-4.1078123729169	0.109250485104116	-37.5999462977409	0	0	Downregulated
