ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
P53_DN.V1_UP	P53_DN.V1_UP	185	0.44030034234842963	1.5294091465514312	7.099349137111852e-4	0.006602394697514023	1365/1029/10232/4072/27074/4312/100133941/126353/6662/3875/10551/10874/7368/6337/51599/3429/1525/4070/629/7464/10403/1404/5328/928/3691/445/1474/3816/3880/688/5655/11339/10653/3625/6286/4232/161291/1305/23057/1824/3012/8099/1832/7718/3606/9734/5307/5764/23086/5645/6385
BMI1_DN.V1_UP	BMI1_DN.V1_UP	135	0.45992952640416873	1.5531713562523246	7.494961430289937e-4	0.006638394409685373	4316/6364/51083/3604/3872/3514/131578/10675/3694/63967/64866/306/8076/1404/4324/3914/290/375790/3177/8876/8614/2919/8200/595/6513/7130/50943/4277/1520/9076/1305/3037/3696/79581/3936/81839/51200/943/3732/6890/11182/3675/26585/2191/3976/4856/8744/5420
CSR_EARLY_UP.V1_DN	CSR_EARLY_UP.V1_DN	120	-0.3440447234488254	-1.5625794313466381	9.802056494601962e-4	0.008287193218163477	112476/443/79625/120892/27031/216/8436/1153/275/54507/89932/10307/9924/9194/284040/10521/2674/84809/84680/26152/221400/7769/54739/10411/8654/8675/57561/55139/55325/79777/254048/55900/84173/10628/89845/121227/23500/6773/5333/133/23637/55876/9751/9860/8148/55793/26048/57523/9397
RELA_DN.V1_DN	RELA_DN.V1_DN	97	0.48290322201214037	1.5827723169389551	0.0010619152095812608	0.008587662129657154	9074/3359/1469/5650/6373/25975/5652/3627/768/5639/4070/4778/11012/2833/5031/10753/57468/2122/57082/3561/3897/8200/7137/10371/8000/5003/4585/2650/3012/7472/9734/5764/4486/943/399/5778/81848/29103/6884/2827/963
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP	171	0.43964288728598844	1.5161313333807198	0.001335126042599825	0.009551286304752594	995/79733/4582/7083/9212/6241/151648/7153/9787/4602/441376/1164/1580/11004/983/55388/3481/3169/9319/83879/3833/941/1349/2591/3418/51203/5029/6557/117178/4173/1462/4861/8743/10051/51804/3993/9055/5819/58516/25994/1111/921/10212/923/58472/993/7374/4116/5790/3619/5788/6790/10471/7531/5272/55233/1678/10592
IL21_UP.V1_UP	IL21_UP.V1_UP	148	0.4552631788001156	1.552743303055144	0.0012902476009047578	0.009551286304752594	9074/6271/3381/27074/1366/6750/84107/4582/7368/6692/6696/6337/79152/29930/84561/3748/11012/1116/79814/26298/3212/10610/11006/81693/4818/3177/8612/2903/6579/7253/9447/7421/2196/28984/1750/51200/5806/91543/5645/9149/5798/3008/8938/7941/81848/29122/11170/3976
LEF1_UP.V1_DN	LEF1_UP.V1_DN	176	0.44560348980744047	1.5430207553188091	0.0012529369934379832	0.009551286304752594	64699/10053/6364/10158/5652/10103/6374/79170/1999/10551/6928/55655/57111/54854/1080/54716/4973/80736/79695/9966/26298/3169/8549/1573/5121/51348/54502/11274/6405/6819/25837/4938/57402/4071/7134/5308/6447/4940/51090/3606/23596/7504/5644/3784/5880
KRAS.LUNG_UP.V1_DN	KRAS.LUNG_UP.V1_DN	101	0.47977804706125826	1.577211442884201	0.0014817906248700094	0.010207890971326732	5650/1014/11202/1672/1382/7356/8842/1010/222/1580/8424/11012/4004/79644/10451/119/64108/6712/55/778/6261/5158/200315/10631/6278/5624/9547/3485/8743/79696/7051/129080/6519/6457/79703/5608/6536
AKT_UP.V1_DN	AKT_UP.V1_DN	168	-0.3040311796090841	-1.4487215668554765	0.0016152374077927365	0.010729791351766035	27254/286133/5156/2100/6943/137872/284612/25900/5317/4969/4811/1805/9630/23024/10365/2202/9572/5345/716/3090/4684/4023/715/3667/5507/5740/8434/4147/5252/2690/11201/1101/164091/1124/80206/6935/55034/8613/7125/5654
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	107	0.47753396291073114	1.5781550280368395	0.0017287410896417734	0.011087787678392063	7476/2556/2118/2731/4312/6374/7015/6696/2842/909/1496/3249/1113/284266/5121/290/136227/27112/10083/2903/4320/10371/2119/3037/25758/6447/11184/1848/2123/4897/5806/10402/6781/7681/2115/634/3689/6035/101/55117/793/58528
KRAS.600_UP.V1_DN	KRAS.600_UP.V1_DN	196	0.4247717783046075	1.4768014521283244	0.0018011635175616784	0.011167213808882406	10686/27293/5650/6664/1014/3218/525/1258/1382/7356/3872/29930/8437/363/1907/4825/10882/57110/10913/28815/10451/54209/64108/10993/79056/80125/51087/6712/81030/27240/7137/79917/3111/50489/4938/9022/1521/80144/3965/7226/5158/3786/79958/6278/4586/1750/4600/29760/5624/4261/3955/9547/8743/79820/7051/4842/79883/6519/11314/64137/50940/10964/5608/6524/6504/2261/23242/4599/7068/51214/79887/401466/1906/57118/1280/54847/2633
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN	167	-0.2914055829862727	-1.3949302833243373	0.0021642982630870012	0.012985789578522007	10351/9737/3908/5320/125/1307/8471/150244/3708/6943/55022/55790/1674/9627/5350/2252/23492/4803/2202/283131/5997/10659/1612/9013/26249/4330/8527/9936/5972/53616/5740/10580/79987/2121/1306/1294/12/654/1475/2353/84223/56521/3399/9920/22837/26011/6424/57088/22846/27295/6586/55667/7448
KRAS.600.LUNG.BREAST_UP.V1_DN	KRAS.600.LUNG.BREAST_UP.V1_DN	208	0.41010432154558485	1.4317439570977888	0.002771985001605586	0.015623915463595123	1381/10686/6664/1014/525/5076/1672/1382/7356/8842/1010/25893/8739/29930/8424/7306/5816/79953/10451/119/64108/10993/55150/51087/6712/3213/7137/3568/50489/25806/80144/3965/79961/6261/7226/5158/79958/6278/1750/3592/5624/4261/79852/9547/5920/3485/8743/7051/4842/3595/129080/9149/610/6519/5795/6457/79703/10964/5608/6536/2261/23242/140/51316/921/923/51214/79887/5818/2246/1280/54847/2633
WNT_UP.V1_UP	WNT_UP.V1_UP	131	0.45272905841526845	1.5217709994303186	0.0027440839121652496	0.015623915463595123	9074/5173/2139/3892/3934/8817/9212/29785/7368/374407/5349/4973/3748/3481/972/5570/954/79191/4645/2919/11226/3833/2906/84258/3625/6347/284654/25806/7033/10631/1718/54437/5029/116844/9518/4237/4486/6385/10225/10863
MTOR_UP.V1_UP	MTOR_UP.V1_UP	138	0.4418127728453304	1.494337743284888	0.0029433248426995267	0.01610171825712094	56649/11065/991/55247/6241/54097/983/29128/10437/29968/4939/51330/6352/11274/51155/79570/6513/3948/115701/57402/283248/1592/56169/3434/9466/1718/4488/3012/64147/637/5111/9388/1030/3336/4117/205/5214/118881
PRC2_EZH2_UP.V1_DN	PRC2_EZH2_UP.V1_DN	163	0.4396261581057971	1.5101939374491786	0.0031498984168444755	0.016739460158087784	5368/3887/4605/55635/78998/7272/9212/3787/55355/9787/3161/8318/24137/23397/81620/699/4778/1894/333/55388/8438/1063/56992/6362/56033/5730/2914/10460/11339/5021/4001/3625/4171/3434/3037/5307/79075/5644/4486/84722/4861/8447/5106/80739/7164/11182/2146/11151/54795/23213/55357/8778/993/3206
E2F1_UP.V1_UP	E2F1_UP.V1_UP	178	0.42509342510588943	1.4733188956922054	0.0034270750014227525	0.017706554174017557	79733/7379/1755/7083/9212/151648/7153/29089/9787/2842/23779/23397/29802/699/7163/92749/55388/1535/30850/3833/3149/7298/6491/4001/254263/79077/9368/388962/25876/23401/10733/117178/4173/4241/1871/9600/80728/2237/675/6541/9055/25819/3692/58516/2146/1111/100/7371/29078/513/84279/54982/8208/1948/9477/5558/161882/7884/1763/79939/4296
