ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
PKCA_DN.V1_DN	PKCA_DN.V1_DN	124	-0.3145211040669193	-1.2178147603467004	0.125	0.1997863247863248	53828/4586/6563/25849/4023/5071/30819/4185/6505/24/57381/2550/150094/974/3694/1675/55859/1742/4157/64332/9839/28/114757/25890/23001
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP	180	0.2673804631345874	1.153756466496355	0.13372093023255813	0.21191367757193533	8900/1116/7305/9636/2207/6280/8345/85236/9473/10123/2535/55013/942/6279/10437/8832/54145/3122/683/3428/64127/4332/10855/3108/4688/3385/64231/1890/25939/8099/51338
RB_DN.V1_UP	RB_DN.V1_UP	111	0.2904551521375608	1.1862765684044294	0.13829787234042554	0.21732522796352585	898/6241/29089/7051/8438/5427/8784/9134/4609/5983/9048/23493/1763/29107/5111/191/58495/4175/8744/100/2886/3925/4176/2052/8914/5557/1397/54584/7884/4833/11164/1786/23234/2956/7283
ALK_DN.V1_DN	ALK_DN.V1_DN	89	-0.3359928725340721	-1.2325981391961267	0.14492753623188406	0.21856007480130904	1734/360/9729/5345/5625/108/80303/6710/57447/1800/1775/8448/845/10875/60494/26047/1410/4680/10562/3489/2185/27239/9914/53826/3169/55466/55020/27141/753/2353
E2F1_UP.V1_DN	E2F1_UP.V1_DN	180	-0.28490117696761014	-1.1619498287772267	0.14437689969604864	0.21856007480130904	9173/10297/7253/216/5063/8436/54996/65009/6505/5997/1153/489/3957/5310/23328/2690/7148/51474/2152/283131/27175/26056/64332/5156/2059/862/2674/5743/1139/23217/10365/3572/1601/6484/1879/23195/2040/272/218/2941/323/53947/57224/1545/153222/104/1374/115825/9659/6446/160760/22822/7043/3709
LTE2_UP.V1_DN	LTE2_UP.V1_DN	187	0.26103540056372865	1.1339026344352257	0.14202898550724638	0.21856007480130904	27074/4192/3429/1381/9636/2537/8357/8519/684/4939/8969/8365/29968/79365/11274/4940/1475/4938/5698/4277/2000/9111/8638/4071/3959/9246/10950/10964/6566/841/3956/54809/6890/10561/9830/3909/25939/3665/9949/10813/23586/5610/64761/3437
MTOR_UP.V1_DN	MTOR_UP.V1_DN	163	-0.29420687946627183	-1.1851770761166736	0.1443932411674347	0.21856007480130904	51655/100820829/3866/4629/8646/6854/1800/3784/1153/5507/1363/26002/4753/8639/3777/23328/1408/27254/10846/23268/1302/58189/9572/3977/6450/583/130132/11095/5142/10365/6517/23584/1843/6560/29948/4804/50484/4684/92565/23416/6820/5252/91252/10693/6804/5154/80760/130507/3398/1911
PDGF_UP.V1_DN	PDGF_UP.V1_DN	98	-0.3298370692218409	-1.2281591212377518	0.14193548387096774	0.21856007480130904	1950/9365/33/8029/6543/5071/108/415/1501/316/7556/4036/3694/8745/8916/94/1410/23268/4157/7078
ERBB2_UP.V1_DN	ERBB2_UP.V1_DN	187	0.25923783427190394	1.1260942484865377	0.14782608695652175	0.21939268461007594	55635/7272/64151/3429/10635/2537/51514/2348/684/4085/1894/445/6491/10733/4939/1062/4938/10926/4609/4071/10950/26271/10964/25788/55003/10561/3665/26018/23160/11073/29889/51012/23586
GCNP_SHH_UP_LATE.V1_DN	GCNP_SHH_UP_LATE.V1_DN	161	0.2703148203625644	1.1474791624192353	0.14739884393063585	0.21939268461007594	3359/84677/11202/5653/4188/51599/6513/54845/1043/9111/4049/11222/6282/4056/4521/64866/8828/10076/2886/80381/10148/3918/5696/4913/79016/60672/4125/8876/8263/3692/57085/81/8394/10400/6556/741
